PuzzleId,GameId,FEN,Moves,Rating
AYTyf,,5k2/6R1/3nP2P/p2pK3/1ppP4/8/P1b5/8 b - - 1 47,d6e8 e6e7,1676
AYU22,,3r1rk1/5q2/6p1/3p4/1P1Q4/8/P2P1PPP/1R2R1K1 w - - 0 36,e1e3 f7f2 g1h1 f2f1 b1f1 f8f1,923
AYTK6,,7k/p1Qq2pp/1r1p1pn1/5N2/P2P4/6BP/5PP1/4R1K1 b - - 0 27,d7c7 e1e8 g6f8 e8f8,671
AYTPX,,5rk1/4bppp/4p3/3bB3/5PN1/6R1/rP4PP/5R1K b - - 2 25,e7h4 g4h6 g8h8 e5g7,1473
AYTTL,,8/p4R2/1p4p1/4R1k1/6P1/2r4P/r4PK1/8 b - - 1 33,g5h4 f7h7,946
AYULR,,8/2Qn2bk/5r2/pp2n3/2pPb3/P5PP/1PP1N2K/6N1 w - - 0 33,d4e5 f6f2,888
AYUgB,,2kr3r/pp2pR1p/n4n2/2p3B1/8/2P5/PP3PPP/RN4K1 w - - 1 18,g5f6 d8d1,449
AYUgy,,7r/4kp2/R2p4/p2P3P/2P1p3/P4bPK/B4P2/4R3 w - - 1 42,h3h4 h8h5,605
AYU5W,,1rr3k1/4bppp/1q1p4/3Pp3/1p2QP2/2PB4/1P4PP/2KR3R b - - 1 23,b4c3 e4h7 g8f8 h7h8,653
AYUBb,,5rk1/2p2pp1/b3p2p/2Q1R3/p1BP4/P1P5/2R2PPP/1r4K1 w - - 1 25,c4f1 b1f1,848
AYUFC,,r3rk2/1p1q1ppQ/2nb4/2pn2N1/p4P2/3P4/PPPB2PP/2K1R2R b - - 2 18,c6e7 h7h8 e7g8 g5h7,1162
AYTHd,,2rr2k1/5p1p/p4RpP/1p1q4/8/8/PPP2Q2/1K3R2 w - - 2 36,f6f7 d5d1 f1d1 d8d1,761
AYSS9,,r1bq3k/pp5B/2n3QB/8/3p4/P1n2N2/4rPP1/2KR3R b - - 2 19,d8e7 g6g8,724
AYSZz,,r1b3kr/pp2n2p/5p1Q/1Np5/7N/3q4/PP2R1PP/4K3 b - - 4 22,e7f5 e2e8 g8f7 h6h5 f7g7 h4f5 c8f5 e8e7 g7g8 h5f7,2046
AYSj6,,4r2k/1p5p/1q4p1/5p2/p2P4/5P2/PP1R1QPP/6K1 w - - 0 33,d4d5 e8e1,1065
AYSBN,,r2k1b1r/ppq1nQpp/3p1p2/1B2p3/4P3/4B2P/PPP2PP1/R3K2R b KQ - 5 19,a7a6 f7e8,786
AYSO2,,r4rk1/1bq2pp1/2nbpn1p/pp1p4/2pP1PN1/2P1P1B1/PPQN2PP/RB3RK1 b - - 3 14,f6g4 c2h7,509
